ke_id	ke_name	url	detection_method	method_description	reference	method_type
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	Matrix metalloproteinase (MMP) assays	Biochemical and cell-based assays for MMP1, MMP2, and MMP9 evaluate ECM degradation during angiogenesis by activated endothelial cells.	NA	in vitro
1913	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/1913	NA	NA	NA	NA
1535	Heart failure (KE1535, KE1964)	https://aopwiki.org/events/1535	Electrocardiogram (ECG)	Heart failure is assessed by ECG, recording electrical activity across animal taxa to determine heart rhythm and identify when heart rate falls to zero.	Hauser et al., 2012	in vivo
1964	Heart failure (KE1535, KE1964)	https://aopwiki.org/events/1964	NA	NA	NA	NA
2099	hERG channel blockade (KE2099)	https://aopwiki.org/events/2099	NA	NA	NA	NA
590	Hypoxia (KE590)	https://aopwiki.org/events/590	NA	NA	NA	NA
2084	Increase, Cardiac remodelling (KE2084)	https://aopwiki.org/events/2084	NA	NA	NA	NA
1269	Increase, COX-2 expression (KE1269)	https://aopwiki.org/events/1269	qRT-PCR for COX-2 transcript	Transcript abundance of COX-2 is measured by quantitative real-time PCR in whole embryos of fish and embryonic tissues of birds.	Dong et al., 2010; Huang et al., 2007; Teraoka et al., 2008; Teraoka et al., 2014; Fujisawa et al., 2014	in vitro
1269	Increase, COX-2 expression (KE1269)	https://aopwiki.org/events/1269	ELISA for COX-2 protein	COX-2 protein levels can be measured by ELISA, though kits are not commercially available for fish or birds.	NA	in vitro
1269	Increase, COX-2 expression (KE1269)	https://aopwiki.org/events/1269	Western blot for COX-2 protein	COX-2 protein abundance can be determined by Western blot. Kits for fish and birds are not yet available.	NA	in vitro
2021	Increase, slincR expression (KE2021)	https://aopwiki.org/events/2021	RT-qPCR for slincR expression	slincR gene expression is quantified by RT-qPCR in embryonic zebrafish at 48 and 96 hpf, providing a measure of temporal changes in expression after chemical exposure.	Garcia et al., 2017	in vitro
2021	Increase, slincR expression (KE2021)	https://aopwiki.org/events/2021	In situ hybridization for slincR expression	Tissue localization of slincR expression is assessed by in situ hybridization in zebrafish embryos, providing spatial resolution of expression domains.	Garcia et al., 2017	in vitro
1500	Increased cellular proliferation and differentiation (KE1500)	https://aopwiki.org/events/1500	Immunohistochemistry	Fibroblast proliferation and myofibroblast differentiation are detected with antibodies against vimentin, procollagen I, and α-SMA. This method provides cellular-level evidence of fibroblast activation.	Zhang, 1994	in vitro
1500	Increased cellular proliferation and differentiation (KE1500)	https://aopwiki.org/events/1500	Cell culture with collagen gel	Functional effects of fibroblast proliferation and differentiation are measured by embedding fibroblasts in collagen gel and analyzing gel contraction, reflecting myofibroblast activity.	Tanaka et al., 2010	in vitro
39	Increased Cholinergic Signaling (KE39)	https://aopwiki.org/events/39	Pupil constriction observation	In human patients with cholinergic poisoning, constricted or pinpoint pupils are frequently reported. Clinical cohort studies of organophosphate exposure document miosis as a reproducible physiological biomarker of increased cholinergic signaling.	Wadia, 1974; Peter, 2014	in vivo
39	Increased Cholinergic Signaling (KE39)	https://aopwiki.org/events/39	Spontaneous embryonic movement observation	In developing fish and frog embryos, spontaneous trunk or tail flexing and rhythmic free-swimming activity are used as markers of increased cholinergic signaling. Embryos are observed under a dissection microscope, and the number of movements per minute is recorded at specific developmental stages.	Watson, 2014	in vivo
39	Increased Cholinergic Signaling (KE39)	https://aopwiki.org/events/39	Embryonic swimming activity assay	Swimming activity of fish and frog larvae is quantified at 5 days post-fertilization by placing dishes over an 8-wedged pie chart grid and counting the number of times larvae cross grid lines during a 1-minute interval. Increased activity indicates cholinergic overstimulation.	Watson, 2014	in vivo
351	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/351	Mortality observation	Mortality is recorded by cessation of heartbeat, breathing, or locomotion. Observations may be visual or assisted by microscopes. Mortality rate is calculated as deaths per unit time, area, or cause.	NA	in vivo
351	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/351	Experimental exposure mortality assays	Mortality is measured during laboratory exposures in mesocosms or ponds simulating realistic environments for aquatic species.	NA	in vivo
351	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/351	Field mortality estimation	Mortality in natural populations is estimated via age-structure analysis or capture-mark-recapture methods in ecological field studies.	NA	in vivo
947	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/947	Candling of eggs	In birds, embryo mortality is detected as failure to hatch or lack of movement when candled, using light to visualize inside the egg.	NA	in vivo
947	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/947	Heartbeat monitoring in eggs	Avian and reptile embryo viability is assessed using external heartbeat monitors such as Avitronic’s Buddy device.	NA	in vivo
947	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/947	Ultrasound biomicroscopy	Ultra-high frequency ultrasound (30–70 MHz) detects stillbirths, resorptions, or mummified offspring in pregnant mammals by imaging embryos in utero.	Flores et al., 2014	in vivo
947	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/947	Observation of heartbeat and movement	In fish embryos, mortality is determined by absence of heartbeat, gill movement, or body movement during observation.	NA	in vivo
1929	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/1929	NA	NA	NA	NA
591	Increased, amputations (KE591)	https://aopwiki.org/events/591	NA	NA	NA	NA
444	Increased, Atrioventricular block and bradycardia (KE444)	https://aopwiki.org/events/444	Electrocardiogram (ECG)	Heart rate and atrioventricular block are measured with ECG, which records cardiac electrical activity in vivo, detecting conduction delays or arrhythmias.	NA	in vivo
1098	Increased, blood potassium concentration (KE1098)	https://aopwiki.org/events/1098	NA	NA	NA	NA
1096	Increased, blood uric acid concentration (KE1096)	https://aopwiki.org/events/1096	NA	NA	NA	NA
1924	Increased, Cardiac fibrosis (KE1924)	https://aopwiki.org/events/1924	NA	NA	NA	NA
1918	Increased, Myocardial apoptosis (KE1918)	https://aopwiki.org/events/1918	NA	NA	NA	NA
2004	Increased, secretion of catecholamine (KE2004)	https://aopwiki.org/events/2004	NA	NA	NA	NA
1925	Increased, Vascular smooth muscle cell activation (KE1925)	https://aopwiki.org/events/1925	NA	NA	NA	NA
2100	Inhibition of rapid delayed rectifying potassium current (KE2100)	https://aopwiki.org/events/2100	NA	NA	NA	NA
1103	Inhibition, Cyclooxygenase 1 activity (KE1103)	https://aopwiki.org/events/1103	NA	NA	NA	NA
105	Inhibition, ETC complexes of the respiratory chain (KE105)	https://aopwiki.org/events/105	MTT assay	The MTT assay measures reduction of tetrazolium salt to insoluble formazan as a marker of electron transport system activity. Mitochondrial suspensions exposed to uranyl acetate were incubated with MTT, and the formazan product was dissolved in DMSO and read at 570 nm.	Thisbault et al., 2007; Shaki et al., 2012	in vitro
105	Inhibition, ETC complexes of the respiratory chain (KE105)	https://aopwiki.org/events/105	Cell respiration assay	Cellular oxygen consumption was measured polarographically with a Clark oxygen electrode at 37°C. PC12 cells incubated with heavy metals were analyzed to determine mitochondrial respiration rates under exposure conditions.	Belyaeva et al., 2012	in vitro
105	Inhibition, ETC complexes of the respiratory chain (KE105)	https://aopwiki.org/events/105	Luciferin–luciferase assay (ATP)	ATP content was quantified using a luciferin–luciferase bioluminescent assay kit. HL-60 cells treated with rotenone were lysed, and luminescence generated from luciferase with added substrate was measured to determine intracellular ATP.	Li et al., 2003	in vitro
105	Inhibition, ETC complexes of the respiratory chain (KE105)	https://aopwiki.org/events/105	Cytochrome c binding domain assay	Assay to identify inhibitory sites of cadmium in complex III by analyzing cytochrome c binding. Reactions were run in defined buffer with cytochrome c and DBH2 as substrates, and binding was quantified spectrophotometrically.	Wang et al., 2004	in vitro
105	Inhibition, ETC complexes of the respiratory chain (KE105)	https://aopwiki.org/events/105	Enzyme activity determination (Complexes I–IV)	Enzymatic activities of mitochondrial complexes I–IV were determined by dual wavelength spectrophotometry. Substrate-specific assays were applied for each complex, and rates of NADH or cytochrome c oxidation/reduction were monitored. Activities were normalized to protein concentration.	Kruiderig et al., 1997; Estornell et al., 1993; Birch-Machin et al., 1993a; Birch-Machin et al., 1993b; Lowry et al., 1951	in vitro
877	Inhibition, organic anion transporter 1 (OAT1) (KE877)	https://aopwiki.org/events/877	Fluorescent substrate uptake assay (COS-7 cells)	Human OAT1 and OAT3 inhibition is measured in COS-7 cells expressing these transporters. Cells are incubated with fluorescent 6-carboxyfluorescein (6-CF) and inhibitors, followed by washing and lysis to quantify intracellular substrate accumulation. IC50 values are derived from dose–response curves.	Duan et al., 2012	in vitro
877	Inhibition, organic anion transporter 1 (OAT1) (KE877)	https://aopwiki.org/events/877	PAH transport assay in renal tubule cells	Renal tubule cells from chicken or vulture are plated on inserts, incubated with inhibitory drugs and para-aminohippuric acid (PAH). Net OAT transport is calculated from basolateral to apical concentration differences.	Naidoo and Swan, 2009	in vitro
584	Inhibition, sodium channel (KE584)	https://aopwiki.org/events/584	Voltage clamp recordings	Voltage-clamp electrophysiology records sodium currents in cells, providing direct measurement of channel binding and modulation.	NA	in vitro
584	Inhibition, sodium channel (KE584)	https://aopwiki.org/events/584	ToxCast NVS_IC_rNaCh_site2 assay	High-throughput binding assay measuring compound interaction with sodium channel receptor site 2, as part of the ToxCast screening program.	NA	in vitro
40	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/40	NA	NA	NA	NA
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	Cellular oxygen consumption assays	Oxygen consumption in cells is measured to evaluate mitochondrial respiration. Derived ratios such as ADP/O or P/O indicate efficiency of oxidative phosphorylation.	Hinkle, 1995; Hafner et al., 1990; Ciapaite et al., 2005; Diepart et al., 2010; Hynes et al., 2006; James et al., 1995; von Heimburg et al., 2005	in vitro
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	Mitochondrial membrane potential assays	Δψm is quantified with TPP+ electrodes in isolated mitochondria or fluorescent dyes such as TMRE, TMRM, or JC-1 in live cells. Changes in fluorescence indicate membrane depolarization.	Petronilli et al., 1999; Barrientos et al., 1999	in vitro
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	ETS enzymatic activity assay	ETS activity is assayed using NADH and an artificial electron acceptor (INT). INT-formazan formation is measured spectrophotometrically as a proxy of electron transport.	Owens and King, 1975; Cammen et al., 1990	in vitro
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	ATP content assays	ATP is quantified using luciferin–luciferase kits, luminometry, or electrodes in isolated mitochondria, providing a direct measure of mitochondrial energy status.	Laudet, 2005; Ciapaite et al., 2005	in vitro
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	Mitochondrial permeability transition pore (mPTP) assays	PTP opening is evaluated by translocation of cytochrome c, adenylate kinase, or AIF, detected in fractions or by imaging. Calcein–cobalt fluorescence quenching is another approach.	Single, 1998; Modjtahedi, 2006; Petronilli et al., 1999	in vitro
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	mtDNA damage assays	Quantitative PCR–based assays detect structural changes or damage in mtDNA, in blood or tissues after exposure to mitochondrial toxins.	Sanders et al., 2014a; Sanders et al., 2014b	in vivo
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	ROS and oxidative stress assays	Reactive oxygen species are detected with fluorescent/luminescent probes, GSH/GSSG ratios, lipid peroxidation (MDA, IsoPs), or protein/DNA oxidation markers.	Adam-Vizi, 2005; Fan and Li, 2014; Pryor et al., 1976; Knott et al., 2008; Bal-Price and Brown, 2000; Bal-Price et al., 2002; Fujikawa, 2015; Walker et al., 1995	in vitro
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	Rhodamine 123 assay	Rhodamine 123 uptake in mitochondria is used to monitor membrane potential collapse, detected fluorometrically.	Shaki et al., 2012	in vitro
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	TMRE fluorescence assay	Confocal microscopy with TMRE detects mitochondrial depolarization associated with mPTP opening.	Huser et al., 1998	in vitro
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	GSH/GSSG determination assay	Biochemical measurement of glutathione status with DTNB. The GSH/GSSG ratio is an indicator of cellular redox potential.	Owen & Butterfield, 2010; Shaki et al., 2013	in vitro
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	TBARS assay	Thiobarbituric acid reactive substances (MDA) are measured colorimetrically or fluorometrically as a marker of lipid peroxidation.	Yuan et al., 2016	in vitro
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	Aequorin-based bioluminescence assay	Aequorin in combination with GFP is used as a Ca2+ sensor, with BRET detection for mitochondrial calcium influx.	Pozzan & Rudolf, 2009	in vitro
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	Western blot / immunostaining of cytochrome c	Subcellular fractionation and immunodetection of cytochrome c redistribution are used to assess mitochondrial permeabilization.	Chen et al., 2000	in vitro
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	Cytochrome c ELISA	Quantikine immunoassay quantifies cytochrome c release into the cytosol using antibody-based detection in microplates.	Shaki et al., 2012	in vitro
177	Mitochondrial dysfunction (KE177, KE40)	https://aopwiki.org/events/177	Flow cytometry (R123 and PI)	Flow cytometry using Rhodamine 123 and propidium iodide simultaneously measures mitochondrial potential and cell viability.	Van de Water et al., 1993; Kruidering et al., 1997	in vitro
1106	Occurrence, cardiac arrhythmia (KE1106)	https://aopwiki.org/events/1106	NA	NA	NA	NA
1105	Occurrence, renal ischemia (KE1105)	https://aopwiki.org/events/1105	NA	NA	NA	NA
1097	Occurrence, renal proximal tubular necrosis (KE1097)	https://aopwiki.org/events/1097	NA	NA	NA	NA
1102	Occurrence, tophi (urate) deposition (KE1102)	https://aopwiki.org/events/1102	NA	NA	NA	NA
1115	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1115	Photocolorimetric assays	ROS generation can be quantified by photocolorimetric assays or commercial kits. Specific detection includes H2-DCF-DA dye with flow cytometry, measuring fluorescence after oxidation. Lipid peroxidation can be assayed as an indirect indicator.	Sharma et al., 2017; Griendling et al., 2016; Yuan et al., 2013	in vitro
1115	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1115	Nitroblue tetrazolium (NBT) assay	Cells are incubated with NBT solution, which reacts with extracellular ROS to form a purple formazan measured at 550 nm, quantifying free radical release.	Chattopadhyay et al., 2002; Park et al., 1968	in vitro
1115	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1115	ROS phototoxicity assay	ROS production by photoirradiated chemicals is measured to evaluate phototoxic risk, including singlet oxygen and superoxide. Recommended by ICH and PCPC guidelines.	Onoue et al., 2014; Onoue et al., 2013; Onoue and Tsuda, 2006; ICH, 2014; PCPC, 2014	in vitro
1115	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1115	Fluorescent probes and chemiluminescence	Detection of ROS with fluorescent probes (e.g., p-methoxy-phenol derivatives, CM-H2DCFDA) or chemiluminescence probes (e.g., luminol, lucigenin). Additional biosensors include SPION nanoparticles.	Ashoka et al., 2020; Fuloria et al., 2021; Lee et al., 2020	in vitro
1115	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1115	Colorimetric and amperometric ROS assays	Hydrogen peroxide is detected with colorimetric probes; ROS levels quantified by multi-step amperometry; singlet oxygen measured spectrophotometrically with selective acceptors.	Flaherty et al., 2017; Onoue et al., 2014	in vitro
1115	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1115	Indirect oxidative stress assays	Redox-dependent changes in proteins, DNA, lipids, or glutathione are measured as indirect markers of ROS activity.	Dickinson and Chang, 2011; Wang et al., 2013; Griendling et al., 2016	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	Chemiluminescence for ROS	ROS-induced chemiluminescence is measured with luminol or lucigenin. This is also described in OECD TG 495 for phototoxicity assessment.	NA	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	Glutathione (GSH/GSSG) assay	Cellular antioxidant status is measured as reduced/oxidized glutathione ratio using commercial kits.	http://www.abcam.com/gshgssg-ratio-detection-assay-kit-fluorometric-green-ab138881.html	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	TBARS assay for lipid peroxidation	Thiobarbituric acid reactive substances are measured colorimetrically or fluorometrically to quantify oxidative lipid damage.	NA	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	8-oxo-dG assay for DNA oxidation	Oxidative damage to nucleic acids is measured as 8-oxo-dG adducts via ELISA or HPLC.	Chepelev et al., 2015	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	Nrf2 protein detection by immunohistochemistry	Increased Nrf2 protein and nuclear translocation is visualized by immunohistochemistry as a marker of oxidative stress response.	Amsen et al., 2009	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	Western blot for Nrf2	Western blot detects total and nuclear Nrf2 protein levels, identifying pathway activation.	NA	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	qPCR of Nrf2 target genes	Expression of genes such as Nqo1, Hmox-1, Gcl, Gst, Prx, TrxR, and Srxn is quantified by qPCR or array-based methods.	Forlenza et al., 2012	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	Transcriptome profiling	Whole transcriptome profiling by microarray or RNA-seq with pathway enrichment analysis identifies Nrf2 oxidative stress pathway activation.	Jackson et al., 2014	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	ARE-Nrf2 luciferase reporter assay	The OECD TG 422D test measures Nrf2 activation using luciferase under ARE control, serving as a standardized oxidative stress assay.	OECD TG422D	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	ROS measurement in isolated mitochondria	Flow cytometry with DCFH-DA detects uranyl acetate-induced ROS in isolated mitochondria, measured as fluorescence intensity.	Shaki et al., 2012	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	Mitochondrial GSH content assay	GSH content in isolated mitochondria is measured using DTNB spectrophotometry after uranyl acetate exposure.	Shaki et al., 2012	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	H2O2 production assay	Scopoletin oxidation assay measures H2O2 generated by mitochondria after CdCl2 or antimycin A treatment.	Heyno et al., 2008	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	Flow cytometry ROS and viability assay	Flow cytometry with Dih123 and propidium iodide quantifies ROS production and cell viability simultaneously.	Van de Water, 1995; Kruidering et al., 1997	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	DCFH-DA ROS assay	DCFH-DA detects intracellular ROS, oxidized to fluorescent DCF, measured by spectrophotometry or flow cytometry.	Yuan et al., 2016	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	H2-DCF-DA ROS assay	H2-DCF-DA detects OH and ONOO− radicals in cells, oxidized to fluorescent DCF, measured spectrofluorometrically.	Thiebault et al., 2007	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	CM-H2DCFDA assay	CM-H2DCFDA is cleaved by esterases and reacts with glutathione, enabling intracellular ROS detection by flow cytometry.	Eruslanov & Kusmartsev, 2009	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	EPR spectroscopy for ROS	Spin trapping-based electron paramagnetic resonance detects free radicals with high specificity.	Griendling et al., 2016	in vitro
1392	Oxidative Stress (KE1392, KE1115)	https://aopwiki.org/events/1392	Seahorse XFp Analyzer	Oxygen consumption and extracellular acidification are quantified in live cells, providing measures of mitochondrial function and oxidative stress.	Leung et al., 2018	in vitro
1961	Prolongation of Action Potential (KE1961)	https://aopwiki.org/events/1961	NA	NA	NA	NA
1962	Prolongation of QT interval (KE1962)	https://aopwiki.org/events/1962	NA	NA	NA	NA
945	Reduced dimerization, ARNT/HIF1-alpha (KE945)	https://aopwiki.org/events/945	Chromatin immunoprecipitation (ChIP)	ChIP measures HIF1α/ARNT binding to genomic DNA in vivo. Formaldehyde crosslinking, DNA shearing, and immunoprecipitation with antibodies are followed by sequencing of enriched DNA fragments.	Perez-Romero and Imperiale, 2007	in vivo
945	Reduced dimerization, ARNT/HIF1-alpha (KE945)	https://aopwiki.org/events/945	Electrophoretic mobility shift assay (EMSA)	EMSA detects binding of HIF1α/ARNT complexes to DNA in vitro. Protein–DNA complexes migrate slower than free DNA, and identity can be confirmed with antibodies.	Perez-Romero and Imperiale, 2007	in vitro
948	Reduced production, VEGF (KE948)	https://aopwiki.org/events/948	ELISA for VEGF protein	VEGF protein levels are measured by ELISA in biological samples, providing quantitative analysis of angiogenic factor expression.	Ivnitski-Steele et al., 2005	in vitro
948	Reduced production, VEGF (KE948)	https://aopwiki.org/events/948	Immunohistochemistry for VEGF protein	Immunohistochemistry detects VEGF protein in tissue sections, allowing spatial localization of expression.	Li et al., 2016	in vitro
948	Reduced production, VEGF (KE948)	https://aopwiki.org/events/948	Western blot for VEGF protein	Western blotting quantifies VEGF protein expression levels, validating regulation after treatment.	Li et al., 2016	in vitro
948	Reduced production, VEGF (KE948)	https://aopwiki.org/events/948	qPCR for VEGF mRNA	Quantitative PCR measures VEGF mRNA expression, which correlates with protein levels and reflects transcriptional activation of the gene.	Medford et al., 2009	in vitro
445	Respiratory distress/arrest (KE445)	https://aopwiki.org/events/445	Spirometry	Spirometry measures FEV1/FVC ratio to assess lung ventilation. A reduced ratio indicates impaired ventilation. Additional measures include airway resistance, flow rates, and diffusion capacity.	Leikauf	in vivo
445	Respiratory distress/arrest (KE445)	https://aopwiki.org/events/445	Blood gas analysis	Blood gas analysis quantifies oxygen and carbon dioxide in arterial blood to evaluate pulmonary gas exchange efficiency.	Leikauf	in vivo
445	Respiratory distress/arrest (KE445)	https://aopwiki.org/events/445	Lung compliance and airway resistance	Deflation/inflation of lungs in animals with measurement of pressure–volume curves allows calculation of compliance and resistance, reflecting tissue and airway properties.	Leikauf	in vivo
445	Respiratory distress/arrest (KE445)	https://aopwiki.org/events/445	Fish respirometry	Cardio-respiratory function in fish is measured in respirometer chambers, recording ventilation rate, cough response, oxygen consumption, and oxygen utilization after chemical exposure.	McKim, 1987	in vivo
445	Respiratory distress/arrest (KE445)	https://aopwiki.org/events/445	Bronchoconstriction challenge	In humans, airway hyperreactivity is assessed by metacholine challenge, monitoring airway resistance increases after aerosol exposure.	Leikauf	in vivo
445	Respiratory distress/arrest (KE445)	https://aopwiki.org/events/445	Pulmonary edema measurement	Pulmonary edema is quantified by lung wet weight:dry weight ratio or pulmonary lavage fluid analysis in animal studies.	Leikauf	in vivo
445	Respiratory distress/arrest (KE445)	https://aopwiki.org/events/445	Inhalation exposure studies	In vivo animal exposures in inhalation chambers monitor respiratory responses and pathology following controlled toxicant exposure.	Leikauf	in vivo
445	Respiratory distress/arrest (KE445)	https://aopwiki.org/events/445	Histopathology of respiratory tissues	Microscopic and gross examination of respiratory tract (nasal passages, larynx, bronchi, parenchyma) identifies inflammation or structural lesions.	Leikauf	in vivo
445	Respiratory distress/arrest (KE445)	https://aopwiki.org/events/445	Isolated lung and airway assays	Perfused lung preparations, airway microdissection, and lung tissue culture provide in vitro systems for functional and structural evaluation.	Leikauf	in vitro
1963	Torsades de Pointes (KE1963)	https://aopwiki.org/events/1963	NA	NA	NA	NA
2000	Vascular calcification (KE2000)	https://aopwiki.org/events/2000	NA	NA	NA	NA
2003	Vascular remodeling (KE2003)	https://aopwiki.org/events/2003	NA	NA	NA	NA
2002	Ventricular remodeling (KE2002)	https://aopwiki.org/events/2002	NA	NA	NA	NA